date,amount,lastUpdate
2020-06-18T00:00:00.000Z,53,2021-02-22T07:19:44.173Z
2020-06-19T00:00:00.000Z,57,2021-02-22T07:19:44.173Z
2020-06-20T00:00:00.000Z,36,2021-02-22T07:19:44.173Z
2020-06-21T00:00:00.000Z,51,2021-02-22T07:19:44.173Z
2020-06-22T00:00:00.000Z,59,2021-02-22T07:19:44.173Z
2020-06-23T00:00:00.000Z,86,2021-02-22T07:19:44.173Z
2020-06-24T00:00:00.000Z,72,2021-02-22T07:19:44.173Z
2020-06-25T00:00:00.000Z,76,2021-02-22T07:19:44.173Z
2020-06-26T00:00:00.000Z,130,2021-02-22T07:19:44.173Z
2020-06-27T00:00:00.000Z,51,2021-02-22T07:19:44.173Z
2020-06-28T00:00:00.000Z,140,2021-02-22T07:19:44.173Z
2020-06-29T00:00:00.000Z,163,2021-02-22T07:19:44.173Z
2020-06-30T00:00:00.000Z,133,2021-02-22T07:19:44.173Z
2020-07-01T00:00:00.000Z,98,2021-02-22T07:19:44.173Z
2020-07-02T00:00:00.000Z,130,2021-02-22T07:19:44.173Z
2020-07-03T00:00:00.000Z,118,2021-02-22T07:19:44.173Z
2020-07-04T00:00:00.000Z,75,2021-02-22T07:19:44.173Z
2020-07-05T00:00:00.000Z,148,2021-02-22T07:19:44.173Z
2020-07-06T00:00:00.000Z,197,2021-02-22T07:19:44.173Z
2020-07-07T00:00:00.000Z,175,2021-02-22T07:19:44.173Z
2020-07-08T00:00:00.000Z,231,2021-02-22T07:19:44.173Z
2020-07-09T00:00:00.000Z,228,2021-02-22T07:19:44.173Z
2020-07-10T00:00:00.000Z,214,2021-02-22T07:19:44.173Z
2020-07-11T00:00:00.000Z,191,2021-02-22T07:19:44.173Z
2020-07-12T00:00:00.000Z,342,2021-02-22T07:19:44.173Z
2020-07-13T00:00:00.000Z,361,2021-02-22T07:19:44.173Z
2020-07-14T00:00:00.000Z,313,2021-02-22T07:19:44.173Z
2020-07-15T00:00:00.000Z,361,2021-02-22T07:19:44.173Z
2020-07-16T00:00:00.000Z,505,2021-02-22T07:19:44.173Z
2020-07-17T00:00:00.000Z,481,2021-02-22T07:19:44.173Z
2020-07-18T00:00:00.000Z,443,2021-02-22T07:19:44.173Z
2020-07-19T00:00:00.000Z,521,2021-02-22T07:19:44.173Z
2020-07-20T00:00:00.000Z,620,2021-02-22T07:19:44.173Z
2020-07-21T00:00:00.000Z,634,2021-02-22T07:19:44.173Z
2020-07-22T00:00:00.000Z,3794,2021-02-22T07:19:44.173Z
2020-07-23T00:00:00.000Z,6539,2021-02-22T07:19:44.173Z
2020-07-24T00:00:00.000Z,1646,2021-02-22T07:19:44.173Z
