test_date,age_60_and_above,male,female,NULL
2020-05-04,NULL,182,179,88
2020-05-04,No,2009,1865,62
2020-05-04,Yes,482,512,9
2020-05-05,NULL,184,236,15
2020-05-05,No,2028,2186,22
2020-05-05,Yes,697,955,4
2020-05-06,NULL,188,399,18
2020-05-06,No,1875,1984,19
2020-05-06,Yes,664,1176,5
2020-05-07,NULL,324,290,15
2020-05-07,No,2541,2506,0
2020-05-07,Yes,555,734,0
