test_date,age_60_and_above,male,female,NULL
2020-05-04,NULL,180,176,88
2020-05-04,No,2011,1870,59
2020-05-04,Yes,483,512,9
2020-05-05,NULL,174,231,13
2020-05-05,No,2037,2191,19
2020-05-05,Yes,700,956,4
2020-05-06,NULL,183,393,17
2020-05-06,No,1884,1992,19
2020-05-06,Yes,667,1181,5
2020-05-07,NULL,240,216,14
2020-05-07,No,2648,2571,1
2020-05-07,Yes,592,772,0
2020-05-08,NULL,108,112,0
2020-05-08,No,1178,1361,0
2020-05-08,Yes,420,666,1
2020-05-09,NULL,49,52,1
2020-05-09,No,245,302,0
2020-05-09,Yes,135,175,1
2020-05-10,NULL,119,118,17
2020-05-10,No,1591,1786,0
2020-05-10,Yes,398,598,0
2020-05-11,NULL,117,121,14
2020-05-11,No,1857,1994,27
2020-05-11,Yes,538,879,11
2020-05-12,NULL,171,181,18
2020-05-12,No,1524,1740,2
2020-05-12,Yes,474,859,0
2020-05-13,NULL,136,182,69
2020-05-13,No,1347,1646,19
2020-05-13,Yes,541,1097,4
2020-05-14,NULL,122,155,36
2020-05-14,No,1330,1629,3
2020-05-14,Yes,432,824,1
2020-05-15,NULL,78,75,7
2020-05-15,No,640,779,1
2020-05-15,Yes,198,332,1
2020-05-16,NULL,41,34,0
2020-05-16,No,142,184,0
2020-05-16,Yes,110,87,0
2020-05-17,NULL,96,103,54
2020-05-17,No,1145,1196,7
2020-05-17,Yes,328,426,2
