date,amount,total,lastUpdate
2020-07-16T00:00:00.000Z,9,408,2021-04-25T06:14:11.900Z
2020-07-17T00:00:00.000Z,12,420,2021-04-25T06:14:11.900Z
2020-07-18T00:00:00.000Z,8,428,2021-04-25T06:14:11.900Z
2020-07-19T00:00:00.000Z,10,438,2021-04-25T06:14:11.900Z
2020-07-20T00:00:00.000Z,12,450,2021-04-25T06:14:11.900Z
2020-07-21T00:00:00.000Z,9,459,2021-04-25T06:14:11.900Z
2020-07-22T00:00:00.000Z,6,465,2021-04-25T06:14:11.900Z
2020-07-23T00:00:00.000Z,16,481,2021-04-25T06:14:11.900Z
2020-07-24T00:00:00.000Z,8,489,2021-04-25T06:14:11.900Z
2020-07-25T00:00:00.000Z,7,496,2021-04-25T06:14:11.900Z
2020-07-26T00:00:00.000Z,11,507,2021-04-25T06:14:11.900Z
2020-07-27T00:00:00.000Z,7,514,2021-04-25T06:14:11.900Z
2020-07-28T00:00:00.000Z,8,522,2021-04-25T06:14:11.900Z
2020-07-29T00:00:00.000Z,15,537,2021-04-25T06:14:11.900Z
2020-07-30T00:00:00.000Z,15,552,2021-04-25T06:14:11.900Z
2020-07-31T00:00:00.000Z,14,566,2021-04-25T06:14:11.900Z
2020-08-01T00:00:00.000Z,14,580,2021-04-25T06:14:11.900Z
2020-08-02T00:00:00.000Z,12,592,2021-04-25T06:14:11.900Z
2020-08-03T00:00:00.000Z,15,607,2021-04-25T06:14:11.900Z
2020-08-04T00:00:00.000Z,11,618,2021-04-25T06:14:11.900Z
2020-08-05T00:00:00.000Z,10,628,2021-04-25T06:14:11.900Z
2020-08-06T00:00:00.000Z,9,637,2021-04-25T06:14:11.900Z
2020-08-07T00:00:00.000Z,12,649,2021-04-25T06:14:11.900Z
2020-08-08T00:00:00.000Z,13,662,2021-04-25T06:14:11.900Z
2020-08-09T00:00:00.000Z,8,670,2021-04-25T06:14:11.900Z
2020-08-10T00:00:00.000Z,15,685,2021-04-25T06:14:11.900Z
2020-08-11T00:00:00.000Z,11,696,2021-04-25T06:14:11.900Z
2020-08-12T00:00:00.000Z,16,712,2021-04-25T06:14:11.900Z
2020-08-13T00:00:00.000Z,16,728,2021-04-25T06:14:11.900Z
2020-08-14T00:00:00.000Z,12,740,2021-04-25T06:14:11.900Z
2020-08-15T00:00:00.000Z,10,750,2021-04-25T06:14:11.900Z
2020-08-16T00:00:00.000Z,20,770,2021-04-25T06:14:11.900Z
2020-08-17T00:00:00.000Z,4,774,2021-04-25T06:14:11.900Z
2020-08-18T00:00:00.000Z,14,788,2021-04-25T06:14:11.900Z
2020-08-19T00:00:00.000Z,12,800,2021-04-25T06:14:11.900Z
2020-08-20T00:00:00.000Z,14,814,2021-04-25T06:14:11.900Z
2020-08-21T00:00:00.000Z,13,827,2021-04-25T06:14:11.900Z
2020-08-22T00:00:00.000Z,10,837,2021-04-25T06:14:11.900Z
2020-08-23T00:00:00.000Z,13,850,2021-04-25T06:14:11.900Z
2020-08-24T00:00:00.000Z,16,866,2021-04-25T06:14:11.900Z
2020-08-25T00:00:00.000Z,19,885,2021-04-25T06:14:11.900Z
2020-08-26T00:00:00.000Z,11,896,2021-04-25T06:14:11.900Z
2020-08-27T00:00:00.000Z,11,907,2021-04-25T06:14:11.900Z
2020-08-28T00:00:00.000Z,13,920,2021-04-25T06:14:11.900Z
2020-08-29T00:00:00.000Z,5,925,2021-04-25T06:14:11.900Z
2020-08-30T00:00:00.000Z,14,939,2021-04-25T06:14:11.900Z
2020-08-31T00:00:00.000Z,23,962,2021-04-25T06:14:11.900Z
2020-09-01T00:00:00.000Z,15,977,2021-04-25T06:14:11.900Z
2020-09-02T00:00:00.000Z,13,990,2021-04-25T06:14:11.900Z
2020-09-03T00:00:00.000Z,16,1006,2021-04-25T06:14:11.900Z
2020-09-04T00:00:00.000Z,12,1018,2021-04-25T06:14:11.900Z
2020-09-05T00:00:00.000Z,15,1033,2021-04-25T06:14:11.900Z
2020-09-06T00:00:00.000Z,12,1045,2021-04-25T06:14:11.900Z
2020-09-07T00:00:00.000Z,17,1062,2021-04-25T06:14:11.900Z
2020-09-08T00:00:00.000Z,20,1082,2021-04-25T06:14:11.900Z
2020-09-09T00:00:00.000Z,15,1097,2021-04-25T06:14:11.900Z
2020-09-10T00:00:00.000Z,14,1111,2021-04-25T06:14:11.900Z
2020-09-11T00:00:00.000Z,20,1131,2021-04-25T06:14:11.900Z
2020-09-12T00:00:00.000Z,15,1146,2021-04-25T06:14:11.900Z
2020-09-13T00:00:00.000Z,17,1163,2021-04-25T06:14:11.900Z
2020-09-14T00:00:00.000Z,20,1183,2021-04-25T06:14:11.900Z
2020-09-15T00:00:00.000Z,16,1199,2021-04-25T06:14:11.900Z
2020-09-16T00:00:00.000Z,26,1225,2021-04-25T06:14:11.900Z
2020-09-17T00:00:00.000Z,17,1242,2021-04-25T06:14:11.900Z
2020-09-18T00:00:00.000Z,21,1263,2021-04-25T06:14:11.900Z
2020-09-19T00:00:00.000Z,28,1291,2021-04-25T06:14:11.900Z
2020-09-20T00:00:00.000Z,21,1312,2021-04-25T06:14:11.900Z
2020-09-21T00:00:00.000Z,32,1344,2021-04-25T06:14:11.900Z
2020-09-22T00:00:00.000Z,26,1370,2021-04-25T06:14:11.900Z
2020-09-23T00:00:00.000Z,25,1395,2021-04-25T06:14:11.900Z
2020-09-24T00:00:00.000Z,31,1426,2021-04-25T06:14:11.900Z
2020-09-25T00:00:00.000Z,29,1455,2021-04-25T06:14:11.900Z
2020-09-26T00:00:00.000Z,27,1482,2021-04-25T06:14:11.900Z
2020-09-27T00:00:00.000Z,32,1514,2021-04-25T06:14:11.900Z
2020-09-28T00:00:00.000Z,28,1542,2021-04-25T06:14:11.900Z
2020-09-29T00:00:00.000Z,35,1577,2021-04-25T06:14:11.900Z
2020-09-30T00:00:00.000Z,37,1614,2021-04-25T06:14:11.900Z
2020-10-01T00:00:00.000Z,46,1660,2021-04-25T06:14:11.900Z
2020-10-02T00:00:00.000Z,25,1685,2021-04-25T06:14:11.900Z
2020-10-03T00:00:00.000Z,38,1723,2021-04-25T06:14:11.900Z
2020-10-04T00:00:00.000Z,37,1760,2021-04-25T06:14:11.900Z
2020-10-05T00:00:00.000Z,27,1787,2021-04-25T06:14:11.900Z
2020-10-06T00:00:00.000Z,45,1832,2021-04-25T06:14:11.900Z
2020-10-07T00:00:00.000Z,26,1858,2021-04-25T06:14:11.900Z
2020-10-08T00:00:00.000Z,47,1905,2021-04-25T06:14:11.900Z
2020-10-09T00:00:00.000Z,40,1945,2021-04-25T06:14:11.900Z
2020-10-10T00:00:00.000Z,35,1980,2021-04-25T06:14:11.900Z
2020-10-11T00:00:00.000Z,46,2026,2021-04-25T06:14:11.900Z
2020-10-12T00:00:00.000Z,30,2056,2021-04-25T06:14:11.900Z
