date,amount,recovered,lastUpdate
2020-08-01T00:00:00.000Z,628,574,2020-09-09T07:10:04.400Z
2020-08-02T00:00:00.000Z,713,2675,2020-09-09T07:10:04.400Z
2020-08-03T00:00:00.000Z,1804,1945,2020-09-09T07:10:04.400Z
2020-08-04T00:00:00.000Z,1725,1823,2020-09-09T07:10:04.400Z
2020-08-05T00:00:00.000Z,1691,1612,2020-09-09T07:10:04.400Z
2020-08-06T00:00:00.000Z,1677,1938,2020-09-09T07:10:04.400Z
2020-08-07T00:00:00.000Z,1752,1363,2020-09-09T07:10:04.400Z
2020-08-08T00:00:00.000Z,762,653,2020-09-09T07:10:04.400Z
2020-08-09T00:00:00.000Z,924,2409,2020-09-09T07:10:04.400Z
2020-08-10T00:00:00.000Z,1695,1387,2020-09-09T07:10:04.400Z
2020-08-11T00:00:00.000Z,1818,1010,2020-09-09T07:10:04.400Z
2020-08-12T00:00:00.000Z,1621,1159,2020-09-09T07:10:04.400Z
2020-08-13T00:00:00.000Z,1643,1344,2020-09-09T07:10:04.400Z
2020-08-14T00:00:00.000Z,1393,1042,2020-09-09T07:10:04.400Z
2020-08-15T00:00:00.000Z,775,597,2020-09-09T07:10:04.400Z
2020-08-16T00:00:00.000Z,1046,2188,2020-09-09T07:10:04.400Z
2020-08-17T00:00:00.000Z,1655,1229,2020-09-09T07:10:04.400Z
2020-08-18T00:00:00.000Z,1648,1308,2020-09-09T07:10:04.400Z
2020-08-19T00:00:00.000Z,1645,1517,2020-09-09T07:10:04.400Z
2020-08-20T00:00:00.000Z,1497,1398,2020-09-09T07:10:04.400Z
2020-08-21T00:00:00.000Z,1487,1600,2020-09-09T07:10:04.400Z
2020-08-22T00:00:00.000Z,719,688,2020-09-09T07:10:04.400Z
2020-08-23T00:00:00.000Z,968,2154,2020-09-09T07:10:04.400Z
2020-08-24T00:00:00.000Z,1897,1342,2020-09-09T07:10:04.400Z
2020-08-25T00:00:00.000Z,1960,2590,2020-09-09T07:10:04.400Z
2020-08-26T00:00:00.000Z,1948,2433,2020-09-09T07:10:04.400Z
2020-08-27T00:00:00.000Z,2069,1513,2020-09-09T07:10:04.400Z
2020-08-28T00:00:00.000Z,1834,1916,2020-09-09T07:10:04.400Z
2020-08-29T00:00:00.000Z,906,728,2020-09-09T07:10:04.400Z
2020-08-30T00:00:00.000Z,1113,2330,2020-09-09T07:10:04.400Z
2020-08-31T00:00:00.000Z,2196,1288,2020-09-09T07:10:04.400Z
2020-09-01T00:00:00.000Z,2248,1097,2020-09-09T07:10:04.400Z
2020-09-02T00:00:00.000Z,3172,1522,2020-09-09T07:10:04.400Z
2020-09-03T00:00:00.000Z,2688,1855,2020-09-09T07:10:04.400Z
2020-09-04T00:00:00.000Z,2617,1261,2020-09-09T07:10:04.400Z
2020-09-05T00:00:00.000Z,1494,810,2020-09-09T07:10:04.400Z
2020-09-06T00:00:00.000Z,2184,2379,2020-09-09T07:10:04.400Z
2020-09-07T00:00:00.000Z,3394,1505,2020-09-09T07:10:04.400Z
2020-09-08T00:00:00.000Z,3506,433,2020-09-09T07:10:04.400Z
2020-09-09T00:00:00.000Z,781,51,2020-09-09T07:10:04.400Z
