date,dailyDoublingRate,numberOfDoublingDays,lastUpdate
2020-06-14T00:00:00.000Z,-0.3189792663476743,-216.9548829711684,2020-09-16T04:02:59.200Z
2020-06-15T00:00:00.000Z,1.519999999999988,45.94749040773105,2020-09-16T04:02:59.200Z
2020-06-16T00:00:00.000Z,9.92907801418439,7.32208864739965,2020-09-16T04:02:59.200Z
2020-06-17T00:00:00.000Z,2.222222222222237,31.5369271742636,2020-09-16T04:02:59.200Z
2020-06-18T00:00:00.000Z,7.784011220196363,9.246999856820123,2020-09-16T04:02:59.200Z
2020-06-19T00:00:00.000Z,8.13272608978528,8.864995395429089,2020-09-16T04:02:59.200Z
2020-06-20T00:00:00.000Z,0.4211793020457266,164.91927568864,2020-09-16T04:02:59.200Z
2020-06-21T00:00:00.000Z,2.156980227681249,32.48041438027263,2020-09-16T04:02:59.200Z
2020-06-22T00:00:00.000Z,8.680351906158347,8.327008823317762,2020-09-16T04:02:59.200Z
2020-06-23T00:00:00.000Z,8.09498111171074,8.904755993751975,2020-09-16T04:02:59.200Z
2020-06-24T00:00:00.000Z,10.73389915127307,6.79823775011532,2020-09-16T04:02:59.200Z
2020-06-25T00:00:00.000Z,9.513074842200187,7.627583278513958,2020-09-16T04:02:59.200Z
2020-06-26T00:00:00.000Z,6.422396047756274,11.13563542210489,2020-09-16T04:02:59.200Z
2020-06-27T00:00:00.000Z,9.439071566731162,7.684747308213564,2020-09-16T04:02:59.200Z
2020-06-28T00:00:00.000Z,7.387769529869215,9.724817509382417,2020-09-16T04:02:59.200Z
2020-06-29T00:00:00.000Z,13.36405529953917,5.525983167764395,2020-09-16T04:02:59.200Z
2020-06-30T00:00:00.000Z,9.66898954703832,7.510008529601849,2020-09-16T04:02:59.200Z
2020-07-01T00:00:00.000Z,12.78792692613184,5.75994905419157,2020-09-16T04:02:59.200Z
2020-07-02T00:00:00.000Z,14.835680751173719,5.010748722083031,2020-09-16T04:02:59.200Z
2020-07-03T00:00:00.000Z,9.852820932134087,7.376158857566473,2020-09-16T04:02:59.200Z
2020-07-04T00:00:00.000Z,7.815407517677708,9.21121057783122,2020-09-16T04:02:59.200Z
2020-07-05T00:00:00.000Z,7.904729030031077,9.110945407513032,2020-09-16T04:02:59.200Z
2020-07-06T00:00:00.000Z,6.1740243122200935,11.56994276372671,2020-09-16T04:02:59.200Z
2020-07-07T00:00:00.000Z,9.129255799939727,7.934120341076552,2020-09-16T04:02:59.200Z
2020-07-08T00:00:00.000Z,4.9144119271121065,14.44817946762605,2020-09-16T04:02:59.200Z
2020-07-09T00:00:00.000Z,4.960526315789471,14.31703600069566,2020-09-16T04:02:59.200Z
2020-07-10T00:00:00.000Z,5.8292591199698975,12.2341292221454,2020-09-16T04:02:59.200Z
2020-07-11T00:00:00.000Z,4.086709310589898,17.30527017603447,2020-09-16T04:02:59.200Z
2020-07-12T00:00:00.000Z,4.574940252645976,15.49494566255591,2020-09-16T04:02:59.200Z
2020-07-13T00:00:00.000Z,6.301012079660451,11.3436132533711,2020-09-16T04:02:59.200Z
2020-07-14T00:00:00.000Z,2.190827190827194,31.98392767811503,2020-09-16T04:02:59.200Z
2020-07-15T00:00:00.000Z,5.560008014425955,12.81010620055717,2020-09-16T04:02:59.200Z
2020-07-16T00:00:00.000Z,3.891050583657596,18.15825124990896,2020-09-16T04:02:59.200Z
2020-07-17T00:00:00.000Z,1.753905179501225,39.86578899842685,2020-09-16T04:02:59.200Z
2020-07-18T00:00:00.000Z,2.5136906365023752,27.92001974721089,2020-09-16T04:02:59.200Z
2020-07-19T00:00:00.000Z,-1.9879148787109169,-34.52031792883449,2020-09-16T04:02:59.200Z
2020-07-20T00:00:00.000Z,1.536812008577537,45.44861849031705,2020-09-16T04:02:59.200Z
2020-07-21T00:00:00.000Z,3.5462865188313994,19.89027921132329,2020-09-16T04:02:59.200Z
2020-07-22T00:00:00.000Z,1.376731537350207,50.69308547498328,2020-09-16T04:02:59.200Z
2020-07-23T00:00:00.000Z,0.4526783468857376,153.4676593124078,2020-09-16T04:02:59.200Z
2020-07-24T00:00:00.000Z,1.9026954852708,36.77523341081226,2020-09-16T04:02:59.200Z
2020-07-25T00:00:00.000Z,-2.669724019326825,-25.61511559121305,2020-09-16T04:02:59.200Z
2020-07-26T00:00:00.000Z,0.2187631468237417,317.1946874024656,2020-09-16T04:02:59.200Z
2020-07-27T00:00:00.000Z,1.410460918478718,49.48907449738734,2020-09-16T04:02:59.200Z
2020-07-28T00:00:00.000Z,0.9934597234870335,70.11704252795472,2020-09-16T04:02:59.200Z
2020-07-29T00:00:00.000Z,-0.6475940650873091,-106.6872594278916,2020-09-16T04:02:59.200Z
2020-07-30T00:00:00.000Z,-1.6336633663366351,-42.0814842143854,2020-09-16T04:02:59.200Z
2020-07-31T00:00:00.000Z,-3.959067270592176,-17.1589335636731,2020-09-16T04:02:59.200Z
2020-08-01T00:00:00.000Z,-4.296943231441053,-15.78205871674376,2020-09-16T04:02:59.200Z
2020-08-02T00:00:00.000Z,-2.993246942872774,-22.80870400592228,2020-09-16T04:02:59.200Z
2020-08-03T00:00:00.000Z,-2.3988711194732,-28.54674753517032,2020-09-16T04:02:59.200Z
2020-08-04T00:00:00.000Z,-3.845783132530123,-17.67472511878888,2020-09-16T04:02:59.200Z
2020-08-05T00:00:00.000Z,-2.726543704891737,-25.07402182900532,2020-09-16T04:02:59.200Z
2020-08-06T00:00:00.000Z,-1.174773289365205,-58.65537750384915,2020-09-16T04:02:59.200Z
2020-08-07T00:00:00.000Z,4.171011470281538,16.96241692980544,2020-09-16T04:02:59.200Z
2020-08-08T00:00:00.000Z,1.2812812812812662,54.443809554189,2020-09-16T04:02:59.200Z
2020-08-09T00:00:00.000Z,2.105159122356204,33.27148841644409,2020-09-16T04:02:59.200Z
2020-08-10T00:00:00.000Z,-1.016358532571871,-67.85191750066939,2020-09-16T04:02:59.200Z
2020-08-11T00:00:00.000Z,0.9485624877762611,73.41946195714145,2020-09-16T04:02:59.200Z
2020-08-12T00:00:00.000Z,-0.7362200910588035,-93.80245148641289,2020-09-16T04:02:59.200Z
2020-08-13T00:00:00.000Z,-0.3415633844051969,-202.5869190400954,2020-09-16T04:02:59.200Z
2020-08-14T00:00:00.000Z,-3.5448491970231135,-19.20498536492877,2020-09-16T04:02:59.200Z
2020-08-15T00:00:00.000Z,0.08121827411167182,853.783992760274,2020-09-16T04:02:59.200Z
2020-08-16T00:00:00.000Z,1.4201663623452991,49.15322265710868,2020-09-16T04:02:59.200Z
2020-08-17T00:00:00.000Z,-0.43008601720343487,-160.8179567777398,2020-09-16T04:02:59.200Z
2020-08-18T00:00:00.000Z,-1.7579105976896052,-39.08257444640771,2020-09-16T04:02:59.200Z
2020-08-19T00:00:00.000Z,0.3169734151329262,219.0231464622761,2020-09-16T04:02:59.200Z
2020-08-20T00:00:00.000Z,-1.5288961369891,-44.98898305738397,2020-09-16T04:02:59.200Z
2020-08-21T00:00:00.000Z,0.9729841631301195,71.58532185800155,2020-09-16T04:02:59.200Z
2020-08-22T00:00:00.000Z,-0.47155304971809864,-146.6455609154821,2020-09-16T04:02:59.200Z
2020-08-23T00:00:00.000Z,-1.0093727469358331,-68.32392180003703,2020-09-16T04:02:59.200Z
2020-08-24T00:00:00.000Z,2.517948184372076,27.87339153892089,2020-09-16T04:02:59.200Z
2020-08-25T00:00:00.000Z,3.1868466456916433,22.09501368214441,2020-09-16T04:02:59.200Z
2020-08-26T00:00:00.000Z,3.009737385659483,23.37501562369092,2020-09-16T04:02:59.200Z
2020-08-27T00:00:00.000Z,5.528501861930679,12.88116916631472,2020-09-16T04:02:59.200Z
2020-08-28T00:00:00.000Z,3.094462540716614,22.74441164521947,2020-09-16T04:02:59.200Z
2020-08-29T00:00:00.000Z,1.6587677725118382,42.13249619779048,2020-09-16T04:02:59.200Z
2020-08-30T00:00:00.000Z,1.234567901234551,56.49078646907329,2020-09-16T04:02:59.200Z
2020-08-31T00:00:00.000Z,2.601057479106261,26.99375870944315,2020-09-16T04:02:59.200Z
2020-09-01T00:00:00.000Z,2.410439697448252,29.10124513689092,2020-09-16T04:02:59.200Z
2020-09-02T00:00:00.000Z,10.09658306955605,7.206184346130915,2020-09-16T04:02:59.200Z
2020-09-03T00:00:00.000Z,4.371544415775897,16.19999006364039,2020-09-16T04:02:59.200Z
2020-09-04T00:00:00.000Z,5.565757875406141,12.797224027055,2020-09-16T04:02:59.200Z
